,description,Date,Months,Years,Site,Period,bloom2,Total_Phosphorus_ug,Total_Nitrogen_mg,Dissolved_P,Dissolved_N,Cumulative_precipitation_t1_t7_mm,Mean_temperature_t0_t7,Microcystin,Dolicho.Abundance,Micro.Abundance,Cyano.Abundance,cyano.sum.helli,micro.sum.helli,doli.sum.helli
FLD0231_10_10_2007_1,10.10.2007.1,2007-10-10,October,2007,Littoral,Fall,no,59.2,471.1,25.39,0.3128,3.775,13.2,NA,2171,7090,13870,9.702318297,0.004460465,0.113260096
FLD0199_12_07_2006_1b,12.07.2006.1b,2006-7-12,July,2006,Pelagic,Summer,no,76.1119705,890.2395,23.3830935,0.7574795,0.975,20.6625,0.138,37589,9210,51363,2.784756118,0.018263896,0.349314756
FLD0200_12_07_2006_2b,12.07.2006.2b,2006-7-12,July,2006,Littoral,Summer,no,51.8749095,924.632,21.357441,0.802102,0.975,20.6625,0.16,7,22,2545,0.080209591,0,0.035230784
FLD0261_12_07_2009_1b,12.07.2009.1b,2009-7-12,July,2009,Littoral,Summer,no,NA,924,NA,0.664,NA,17.2125,NA,5632,37,5841,0.551965159,0.0662876,0.018274301
FLD0262_12_07_2009_2b,12.07.2009.2b,2009-7-12,July,2009,Pelagic,Summer,no,NA,NA,5.412,0.601,NA,17.2125,1.7,30861,195,37487,9.49285233,0.492543774,0.327985488
FLD0282_12_07_2010_1,12.07.2010.1,2010-7-12,July,2010,Littoral,Summer,no,19.701,439,9.413,0.3,3.725,25.2375,NA,NA,NA,NA,17.40312904,0.271985885,0
FLD0283_12_07_2010_2,12.07.2010.2,2010-7-12,July,2010,Pelagic,Summer,no,27.861,316,13.366,0.279,3.725,25.2375,NA,NA,NA,NA,4.436389038,0.024294865,0
FLD0353_12_08_2015_1,12.08.2015.1,2015-8-12,August,2015,Littoral,Summer,NA,89.9398,873.9822647,31.9,525,5.3875,18.1875,NA,NA,NA,NA,NA,NA,NA
FLD0210_12_09_2006_1a,12.09.2006.1a,2006-9-12,September,2006,Pelagic,Summer,yes,54.114784,632.9985,17.3591535,0.3130345,0.55,14.55,2.74,6423,1338,7783,10.59929138,0.27428148,3.23661054
FLD0211_12_09_2006_2b,12.09.2006.2b,2006-9-12,September,2006,Littoral,Summer,yes,54.540525,610.5105,14.520881,0.303932,0.55,14.55,2.36,NA,NA,NA,1.190947009,0.053718094,0.477534561
FLD0307_12_09_2011_1,12.09.2011.1,2011-9-12,September,2011,Littoral,Summer,no,31.164,1271,11.091,0.957,9.05,16.35,NA,NA,NA,NA,11.35614853,0.095438006,0.407462445
FLD0308_12_09_2011_2,12.09.2011.2,2011-9-12,September,2011,Pelagic,Summer,no,59.618,1070,26.568,0.716,9.05,16.35,NA,390,12,6510,9.817499284,0.678337485,1.464193731
FLD0309_12_10_2011_1,12.10.2011.1,2011-10-12,October,2011,Littoral,Fall,no,114.903,863,52.792,0.605,0,11.6625,NA,949,6,4646,1.879693338,0.045843142,0.03986335
FLD0310_12_10_2011_2,12.10.2011.2,2011-10-12,October,2011,Pelagic,Fall,no,183.097,1211,42.586,0.606,0,11.6625,NA,64,7,569,2.744051062,0.169809336,0.045566156
FLD0195_13_06_2006_1c,13.06.2006.1c,2006-6-13,June,2006,Pelagic,Spring,no,51.958527,1413.005,34.5288295,1.2993945,10.475,14.8,0.0033,0,0,13837,20.66955294,0.024416541,0.310611963
FLD0196_13_06_2006_2c,13.06.2006.2c,2006-6-13,June,2006,Littoral,Spring,no,58.42204,1597.079,37.796898,1.4146905,10.475,14.8,0.0012,NA,NA,NA,18.73661728,0.008424507,0
FLD0355_13_08_2015_1,13.08.2015.1,2015-8-13,August,2015,Littoral,Summer,NA,NA,NA,NA,NA,5.2,18.2125,NA,396,14787,18171,NA,NA,NA
FLD0356_13_08_2015_2,13.08.2015.2,2015-8-13,August,2015,Pelagic,Summer,NA,NA,NA,NA,NA,5.2,18.2125,NA,1346,268,4312,NA,NA,NA
FLD0316_14_08_2012_1,14.08.2012.1,2012-8-14,August,2012,Littoral,Summer,yes,100.024,994,13.976,0.304,4.5,21.8875,4.44,NA,NA,NA,0.9526763,0.015664638,0.568472561
FLD0317_14_08_2012_2,14.08.2012.2,2012-8-14,August,2012,Pelagic,Summer,yes,91.021,622,14.103,0.25,4.5,21.8875,1.56,1298,325,8827,11.72959513,0.051715274,3.074283085
FLD0294_15_05_2011_1,15.05.2011.1,2011-5-15,May,2011,Littoral,Spring,no,64.338,655,36.815,0.575,5.55,13.05,NA,8838,7356,16787,17.25564782,0,0
FLD0295_15_05_2011_2,15.05.2011.2,2011-5-15,May,2011,Littoral,Spring,NA,NA,NA,NA,NA,5.55,13.05,NA,4882,7903,13163,NA,NA,NA
FLD0239_15_07_2008_1,15.07.2008.1,2008-7-15,July,2008,Littoral,Summer,no,81.93,795,NA,NA,3.425,20.2125,NA,1090,527,13652,NA,NA,NA
FLD0240_15_07_2008_2,15.07.2008.2,2008-7-15,July,2008,Pelagic,Summer,no,69.43,541,NA,NA,3.425,20.2125,NA,NA,NA,NA,3.539258944,0.082119008,0.542991502
FLD0212_15_08_2006_1a,15.08.2006.1a,2006-8-15,August,2006,Pelagic,Summer,yes,NA,NA,NA,NA,0.35,16.6,0,152,27,2932,1.775420204,0.311315444,0.745778314
FLD0205_15_08_2006_2a,15.08.2006.2a,2006-8-15,August,2006,Littoral,Summer,yes,163.5069225,1455.846,32.149126,0.5180285,0.35,16.6,4.28,213,109,7840,5.171799498,0.516063587,1.22141566
FLD0371_15_09_2016,15.09.2016,2016-9-15,September,2016,Littoral,Fall,NA,1623,14231,848.5,8739,4.55,17.6875,NA,NA,NA,NA,NA,NA,NA
FLD0275_15_10_2009_1,15.10.2009.1,2009-10-15,October,2009,Littoral,Fall,no,33.98,NA,NA,NA,1.75,5.025,1.00E-04,NA,NA,NA,14.11147719,0.01576081,0.009356302
FLD0276_15_10_2009_p2,15.10.2009.p2,2009-10-15,October,2009,Pelagic,Fall,no,38.86,NA,NA,NA,1.75,5.025,NA,6890,489,7716,20.77936632,0.015070217,0.037584605
FLD0279_16_06_2010_1,16.06.2010.1,2010-6-16,June,2010,Littoral,Summer,no,NA,408,NA,0.471,2.15,14.6625,NA,4857,55,8322,0.454875641,0,0
FLD0280_16_06_2010_2,16.06.2010.2,2010-6-16,June,2010,Pelagic,Summer,no,NA,256,NA,0.362,2.15,14.6625,NA,211,10,675,1.38513717,0.007048448,0.005325821
FLD0341_16_07_2015_L1,16.07.2015.L1,2015-7-16,July,2015,Littoral,Summer,NA,NA,NA,NA,NA,1.525,19.2375,NA,0,0,21527,NA,NA,NA
FLD0340_16_07_2015_p1,16.07.2015.p1,2015-7-16,July,2015,Pelagic,Summer,NA,NA,NA,NA,NA,1.525,19.2375,NA,0,0,15325,NA,NA,NA
FLD0327_16_08_2013_1,16.08.2013.1,2013-8-16,August,2013,Littoral,Summer,yes,90.795,1166,21.579,0.581,4.1,17.1875,NA,82,207,669,4.255508867,0.058911344,1.01939658
FLD0328_16_08_2013_2,16.08.2013.2,2013-8-16,August,2013,Pelagic,Summer,no,40.149,464,22.929,0.36,4.1,17.1875,NA,321,442,9323,4.715741783,0.069853698,0.462036506
FLD0271_16_09_2009_1,16.09.2009.1,2009-9-16,September,2009,Littoral,Fall,yes,NA,NA,NA,NA,0.7,14.9,NA,81,32,10581,17.1108565,0.063289533,0.368688228
FLD0272_16_09_2009_2,16.09.2009.2,2009-9-16,September,2009,Pelagic,Fall,yes,NA,NA,NA,NA,0.7,14.9,NA,0,0,307,9.82619555,0.019757221,0.687100295
FLD0290_16_09_2010_1,16.09.2010.1,2010-9-16,September,2010,Littoral,Fall,no,43.482,445,2.211,0.388,4.675,13.725,NA,3678,16696,24894,1.990107429,0.008424507,0.662833204
FLD0291_16_09_2010_2,16.09.2010.2,2010-9-16,September,2010,Pelagic,Fall,no,50.83,420,26.108,0.306,4.675,13.725,NA,382,1568,4844,9.663923591,0.012495563,2.727869067
FLD0358_16_09_2015_1,16.09.2015.1,2015-9-16,September,2015,Littoral,Fall,NA,NA,NA,NA,NA,6.125,18.475,NA,1488,9,5825,NA,NA,NA
FLD0359_16_09_2015_2,16.09.2015.2,2015-9-16,September,2015,Pelagic,Fall,NA,NA,NA,NA,NA,6.125,18.475,NA,1546,0,5601,NA,NA,NA
FLD0215_16_10_2006_1b,16.10.2006.1b,2006-10-16,October,2006,Pelagic,Fall,NA,NA,NA,NA,NA,1.95,8.9,NA,0,3,545,NA,NA,NA
FLD0216_16_10_2006_2b,16.10.2006.2b,2006-10-16,October,2006,Littoral,Fall,no,96.830787,773.2315,42.0521255,0.542282,1.95,8.9,0,15,92,627,0.525460334,0.008143657,0.033722922
FLD0257_17_06_2009_1,17.06.2009.1,2009-6-17,June,2009,Littoral,Summer,NA,NA,NA,NA,NA,2.2,17.5625,NA,74,84,23599,NA,NA,NA
FLD0258_17_06_2009_2,17.06.2009.2,2009-6-17,June,2009,Pelagic,Summer,NA,NA,NA,NA,NA,2.2,17.5625,NA,0,10,12204,NA,NA,NA
FLD0249_17_09_2008_1d,17.09.2008.1d,2008-9-17,September,2008,Littoral,Fall,no,80.4,NA,32.82,NA,2.4,15.425,0,0,89,2033,19.20290968,0.588361118,3.356566472
FLD0250_17_09_2008_3b,17.09.2008.3b,2008-9-17,September,2008,Pelagic,Fall,no,71.16,720,30.59,0.539,2.4,15.425,0.4,NA,NA,NA,7.232679666,0.144276192,1.059911393
FLD0318_17_09_2012_1,17.09.2012.1,2012-9-17,September,2012,Littoral,Fall,no,65.737,545,36.861,0.344,0.75,14.825,NA,499,63,6457,NA,NA,NA
FLD0319_17_09_2012_2,17.09.2012.2,2012-9-17,September,2012,Pelagic,Fall,no,74.969,635,37.416,0.363,0.75,14.825,81.9,NA,NA,NA,2.937805613,0.051927369,0.617731217
FLD0330_17_09_2013_1,17.09.2013.1,2013-9-17,September,2013,Littoral,Fall,yes,194.865,2186,32.565,0.634,12.05,14.475,NA,NA,NA,NA,1.837969684,0.43947471,0.751588887
FLD0331_17_09_2013_2,17.09.2013.2,2013-9-17,September,2013,Pelagic,Fall,yes,153.644,1409,65.148,0.53,12.05,14.475,NA,358,934,3010,1.70865716,0.440466234,0.552665495
FLD0320_17_10_2012_1,17.10.2012.1,2012-10-17,October,2012,Littoral,Fall,no,54.588,830,34.225,0.763,NA,NA,0.00541,NA,NA,NA,10.3384239,0.013320315,0.043583168
FLD0321_17_10_2012_2,17.10.2012.2,2012-10-17,October,2012,Pelagic,Fall,no,83.618,1129,35.563,1.081,NA,NA,0.0197,0,0,839,0.721601038,0,0.018761702
FLD0243_18_08_2008_4d,18.08.2008.4d,2008-8-18,August,2008,Pelagic,Summer,yes,268.72,720,22.66,0.69,2.625,18.2125,NA,133,47,1364,19.76593691,0.319786961,3.475934918
FLD0368_18_08_2016,18.08.2016,2016-8-18,August,2016,Littoral,Summer,NA,166.3,1858,39.3,593,8.3125,21.45,NA,181,538,1315,NA,NA,NA
FLD0336_19_03_2015_L1,19.03.2015.L1,2015-3-19,March,2015,Littoral,Spring,NA,NA,NA,NA,NA,1.975,-4.95,NA,35,16942,17641,NA,NA,NA
FLD0337_19_03_2015_L2,19.03.2015.L2,2015-3-19,March,2015,Littoral,Spring,NA,NA,NA,NA,NA,1.975,-4.95,NA,0,6355,6887,NA,NA,NA
FLD0334_19_03_2015_p1,19.03.2015.p1,2015-3-19,March,2015,Pelagic,Spring,NA,NA,NA,NA,NA,1.975,-4.95,NA,2888,28,4970,NA,NA,NA
FLD0335_19_03_2015_p2,19.03.2015.p2,2015-3-19,March,2015,Pelagic,Spring,NA,NA,NA,NA,NA,1.975,-4.95,NA,261,0,2090,NA,NA,NA
FLD0301_19_07_2011_1,19.07.2011.1,2011-7-19,July,2011,Littoral,Summer,no,57.995,838,39.201,0.533,0.5,20.8,NA,NA,NA,NA,3.944864029,0.060903615,1.23010591
FLD0302_19_07_2011_2,19.07.2011.2,2011-7-19,July,2011,Pelagic,Summer,no,42.123,681,14.563,0.462,0.5,20.8,NA,NA,NA,NA,10.43668636,0.152294668,1.627655528
FLD0362_19_07_2016,19.07.2016,2016-7-19,July,2016,Littoral,Summer,NA,NA,NA,NA,NA,6.0625,21.75,NA,NA,NA,NA,NA,NA,NA
FLD0227_19_09_2007_1,19.09.2007.1,2007-9-19,September,2007,Littoral,Fall,no,76.84,522.05,25.21,0.3459,2.325,12.7625,NA,1607,700,7937,11.74259337,0.00892093,0.218335719
FLD0228_19_09_2007_2,19.09.2007.2,2007-9-19,September,2007,Pelagic,Fall,no,92.47,527.3,21.16,0.32775,2.325,12.7625,NA,1203,855,6190,8.367471353,0.00630805,0.330852449
FLD0292_19_10_2010_1,19.10.2010.1,2010-10-19,October,2010,Littoral,Fall,no,NA,1148,NA,0.976,6.95,6.4375,NA,NA,NA,NA,2.301391626,0.006813473,0.036568583
FLD0293_19_10_2010_2,19.10.2010.2,2010-10-19,October,2010,Pelagic,Fall,no,NA,1054,NA,0.938,6.95,6.4375,NA,2131,197,5187,2.016588659,0,0.028844425
FLD0255_20_05_2009_1,20.05.2009.1,2009-5-20,May,2009,Littoral,Spring,no,63.091,953,43.944,0.821,2.95,11.9,NA,37,167,2768,14.54817879,0.021145345,0.00724736
FLD0256_20_05_2009_2,20.05.2009.2,2009-5-20,May,2009,Pelagic,Spring,no,64.177,787,59.02,0.639,2.95,11.9,NA,115,2226,6629,31.39005902,0.141154079,0.17578248
FLD0314_20_07_2012_1,20.07.2012.1,2012-7-20,July,2012,Littoral,Summer,no,139.226,1041,62.419,0.376,4.675,21.0625,8.94,10389,4571,19736,13.6658158,1.005399951,3.247622878
FLD0315_20_07_2012_2,20.07.2012.2,2012-7-20,July,2012,Pelagic,Summer,no,85.94,452,56.307,0.285,4.675,21.0625,1.67,2297,1009,4897,6.048988673,0.183047293,1.601153868
FLD0363_20_07_2016,20.07.2016,2016-7-20,July,2016,Littoral,Summer,NA,NA,NA,NA,NA,6.0625,21.225,NA,8511,745,9556,NA,NA,NA
FLD0297_21_06_2011_1,21.06.2011.1,2011-6-21,June,2011,Littoral,Summer,no,37.607,955,18.149,0.526,0.525,17.95,0.0904,148,25,2854,21.67080121,0.191405698,0.686834829
FLD0298_21_06_2011_2,21.06.2011.2,2011-6-21,June,2011,Pelagic,Summer,no,19.743,723,3.472,0.53,0.525,17.95,0.178,39,0,372,13.85087592,0.021145345,0.344067859
FLD0360_21_10_2015_1,21.10.2015.1,2015-10-21,October,2015,Littoral,Fall,NA,NA,NA,NA,NA,2.2125,4.8375,NA,145,76,3955,NA,NA,NA
FLD0361_21_10_2015_2,21.10.2015.2,2015-10-21,October,2015,Littoral,Fall,NA,NA,NA,NA,NA,2.2125,4.8375,NA,105,0,3748,NA,NA,NA
FLD0232_22_05_2008_1,22.05.2008.1,2008-5-22,May,2008,Littoral,Spring,no,128.82,527,NA,NA,6.675,10.4875,NA,10,0,1810,8.663382193,0,0
FLD0206_22_08_2006_1,22.08.2006.1,2006-8-22,August,2006,Pelagic,Summer,no,97.0761445,973.1345,34.095167,0.6318595,2.6,19.5375,NA,688,3015,7744,1.17028244,0.033774094,0.043087644
FLD0207_22_08_2006_2,22.08.2006.2,2006-8-22,August,2006,Littoral,Summer,no,97.2530575,843.246,40.9947685,-0.0495495,2.6,19.5375,NA,NA,NA,NA,2.62493177,0.212399281,0.143857676
FLD0223_22_08_2007_1,22.08.2007.1,2007-8-22,August,2007,Littoral,Summer,no,66.915,552.75,27.085,0.3932,2.775,15.05,NA,0,0,4798,8.039343123,0.011516871,0
FLD0224_22_08_2007_2,22.08.2007.2,2007-8-22,August,2007,Pelagic,Summer,no,49.495,458.25,25.49,0.3647,2.775,15.05,NA,0,3,3324,7.99619238,0.010925863,0.126663973
FLD0267_22_08_2009_1,22.08.2009.1,2009-8-22,August,2009,Littoral,Summer,no,NA,NA,NA,NA,2.425,22.95,NA,8311,4325,12850,1.450189366,0.052728151,0.459175936
FLD0268_22_08_2009_p1,22.08.2009.p1,2009-8-22,August,2009,Pelagic,Summer,no,NA,NA,NA,NA,2.425,22.95,NA,17882,10775,29315,13.24611095,0.075927517,0.194807344
FLD0289_22_08_2010_1,22.08.2010.1,2010-8-22,August,2010,Littoral,Summer,yes,NA,748,NA,0.401,NA,NA,NA,NA,NA,NA,3.506164334,0.011225257,0.045364864
FLD0372_22_09_2016,22.09.2016,2016-9-22,September,2016,Littoral,Fall,NA,146.7,1852,39.9,1001,5.825,17.5875,NA,NA,NA,NA,NA,NA,NA
FLD0305_23_08_2011_1,23.08.2011.1,2011-8-23,August,2011,Littoral,Summer,no,211.889,867,39.883,0.441,6.95,19.1875,NA,1091,271,1960,6.347218918,0.157256684,0.309017911
FLD0306_23_08_2011_2,23.08.2011.2,2011-8-23,August,2011,Pelagic,Summer,yes,159.915,923,45.155,0.335,6.95,19.1875,NA,6085,470,8757,5.592876955,0.302666482,0.581835786
FLD0369_23_08_2016,23.08.2016,2016-8-23,August,2016,Littoral,Summer,NA,125.2,1354,52.1,622,7.5625,19.725,NA,193,459,1091,NA,NA,NA
FLD0273_23_09_2009_1,23.09.2009.1,2009-9-23,September,2009,Littoral,Fall,no,38.51,NA,18.39,NA,3.05,13.625,0.0507,2,7,670,4.619371354,0.014096897,0.576588108
FLD0274_23_09_2009_2,23.09.2009.2,2009-9-23,September,2009,Pelagic,Fall,no,44.94,NA,23.59,NA,3.05,13.625,0.0214,NA,NA,NA,5.60243093,0,0.082768833
FLD0332_23_10_2013_1,23.10.2013.1,2013-10-23,October,2013,Littoral,Fall,yes,92.716,769,38.356,0.454,NA,10.675,NA,1989,3659,9350,4.070445799,0.385191849,0.01777354
FLD0333_23_10_2013_2,23.10.2013.2,2013-10-23,October,2013,Pelagic,Fall,yes,73.558,537,45.396,0.443,NA,10.675,NA,NA,NA,NA,0.805807125,0.272132523,0
FLD0311_24_04_2012_1,24.04.2012.1,2012-4-24,April,2012,Littoral,Spring,no,34.068,567,0.79,0.518,4.425,8.375,NA,42,0,497,9.473137902,0.006525595,0
FLD0244_24_08_2008_2,24.08.2008.2,2008-8-24,August,2008,Pelagic,Summer,NA,NA,NA,NA,NA,3.475,18.65,NA,12,0,52,NA,NA,NA
FLD0236_25_06_2008_a,25.06.2008.a,2008-6-25,June,2008,Littoral,Summer,no,52.13,1470,NA,NA,3.325,16.5375,NA,36933,317,37667,10.78151227,0,0
