"","FLD0194_30_05_2006_2b","FLD0195_13_06_2006_1c","FLD0196_13_06_2006_2c","FLD0197_27_06_2006_1","FLD0198_27_06_2006_2","FLD0199_12_07_2006_1b","FLD0200_12_07_2006_2b","FLD0202_02_08_2006_1b","FLD0203_02_08_2006_2b","FLD0212_15_08_2006_1a","FLD0205_15_08_2006_2a","FLD0206_22_08_2006_1","FLD0207_22_08_2006_2","FLD0208_05_09_2006_1","FLD0209_05_09_2006_2","FLD0210_12_09_2006_1a","FLD0211_12_09_2006_2b","FLD0213_26_09_2006_2a","FLD0214_10_10_2006_1","FLD0215_16_10_2006_1b","FLD0216_16_10_2006_2b","FLD0219_06_07_2007_1","FLD0220_06_07_2007_2","FLD0221_02_08_2007_1","FLD0222_02_08_2007_2","FLD0223_22_08_2007_1","FLD0224_22_08_2007_2","FLD0225_05_09_2007_1","FLD0226_05_09_2007_2","FLD0227_19_09_2007_1","FLD0228_19_09_2007_2","FLD0229_26_09_2007_1","FLD0230_26_09_2007_2","FLD0231_10_10_2007_1","FLD0232_22_05_2008_1","FLD0233_01_06_2008_1","FLD0234_01_06_2008","FLD0236_25_06_2008_a","FLD0237_25_06_2008_b","FLD0238_02_07_2008","FLD0239_15_07_2008_1","FLD0240_15_07_2008_2","FLD0241_04_08_2008_4b","FLD0242_04_08_2008_2b","FLD0243_18_08_2008_4d","FLD0244_24_08_2008_2","FLD0245_29_08_2008_1","FLD0246_29_08_2008_2","FLD0248_03_09_2008_2b","FLD0249_17_09_2008_1d","FLD0250_17_09_2008_3b","FLD0251_07_10_2008_5b","FLD0252_07_10_2008_6b","FLD0253_27_10_2008_1","FLD0254_27_10_2008_2","FLD0255_20_05_2009_1","FLD0256_20_05_2009_2","FLD0257_17_06_2009_1","FLD0258_17_06_2009_2","FLD0259_08_07_2009_1","FLD0260_08_07_2009_2","FLD0261_12_07_2009_1b","FLD0262_12_07_2009_2b","FLD0263_25_07_2009_b","FLD0264_25_07_2009_p2","FLD0265_29_07_2009_1","FLD0266_08_08_2009_p2","FLD0267_22_08_2009_1","FLD0268_22_08_2009_p1","FLD0269_02_09_2009_1","FLD0270_02_09_2009_2","FLD0271_16_09_2009_1","FLD0272_16_09_2009_2","FLD0273_23_09_2009_1","FLD0274_23_09_2009_2","FLD0275_15_10_2009_1","FLD0276_15_10_2009_p2","FLD0277_05_05_2010_1","FLD0278_05_05_2010_2","FLD0279_16_06_2010_1","FLD0280_16_06_2010_2","FLD0281_05_07_2010_1","FLD0282_12_07_2010_1","FLD0283_12_07_2010_2","FLD0284_26_07_2010_1","FLD0285_10_08_2010_1","FLD0286_10_08_2010_2","FLD0289_22_08_2010_1","FLD0290_16_09_2010_1","FLD0291_16_09_2010_2","FLD0292_19_10_2010_1","FLD0293_19_10_2010_2","FLD0294_15_05_2011_1","FLD0295_15_05_2011_2","FLD0297_21_06_2011_1","FLD0298_21_06_2011_2","FLD0299_05_07_2011_1","FLD0300_05_07_2011_2","FLD0301_19_07_2011_1","FLD0302_19_07_2011_2","FLD0303_09_08_2011_1","FLD0304_09_08_2011_2","FLD0305_23_08_2011_1","FLD0306_23_08_2011_2","FLD0307_12_09_2011_1","FLD0308_12_09_2011_2","FLD0309_12_10_2011_1","FLD0310_12_10_2011_2","FLD0311_24_04_2012_1","FLD0312_07_06_2012_1","FLD0313_07_06_2012_2","FLD0314_20_07_2012_1","FLD0315_20_07_2012_2","FLD0316_14_08_2012_1","FLD0317_14_08_2012_2","FLD0318_17_09_2012_1","FLD0319_17_09_2012_2","FLD0320_17_10_2012_1","FLD0321_17_10_2012_2","FLD0323_05_06_2013_1","FLD0324_05_06_2013_2","FLD0325_03_07_2013_1","FLD0326_03_07_2013_2","FLD0327_16_08_2013_1","FLD0328_16_08_2013_2","FLD0329_27_08_2013_1","FLD0330_17_09_2013_1","FLD0331_17_09_2013_2","FLD0332_23_10_2013_1","FLD0333_23_10_2013_2","FLD0334_19_03_2015_p1","FLD0335_19_03_2015_p2","FLD0338_30_06_2015_p1","FLD0339_30_06_2015_L2","FLD0340_16_07_2015_p1","FLD0341_16_07_2015_L1","FLD0342_28_07_2015_1","FLD0344_30_07_2015_1","FLD0347_04_08_2015_1","FLD0351_10_08_2015_1","FLD0353_12_08_2015_1","FLD0355_13_08_2015_1","FLD0356_13_08_2015_2","FLD0357_03_09_2015_2","FLD0358_16_09_2015_1","FLD0359_16_09_2015_2","FLD0360_21_10_2015_1","FLD0361_21_10_2015_2","FLD0362_19_07_2016","FLD0363_20_07_2016","FLD0364_25_07_2016","FLD0365_27_07_2016","FLD0366_01_08_2016","FLD0367_09_08_2016","FLD0368_18_08_2016","FLD0369_23_08_2016","FLD0370_03_09_2016","FLD0371_15_09_2016","FLD0372_22_09_2016","FLD0373_25_10_2016"
"ASV_217",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,42,37,54,28,44,77,54,0,11,10,7,0,0,3,6,6,12,7,5,5,169,60,38,15,3,8,11,5,7,20,5,17,0,4,0,0,4,0,6,0,8,3,19,32,116,140,117,36,109,11,4,0,0,0,0,0,0,0,0,18,0,8,0,15,50,2,3,6,24,0,7,6,37,1571,595,338,5,9,0,0,8,0,0,0,16,75,0,18,0,0,5,0,3,3,0,0,0,69,67,9,9,0,0,11,0,0,0,0,0,0,0,6,11,6,8,5,4,2,0,0,0,0,0,0,0
"ASV_564",10,28,28,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,23,3,7,51,5,10,0,3,0,0,0,2,0,0,5,2,0,5,0,0,0,84,24,36,52,8,9,4,10,10,0,0,14,0,0,2,0,0,0,0,0,0,0,17,13,19,19,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_512",0,38,41,6,0,7,0,10,23,0,0,0,6,0,14,21,30,0,0,35,42,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,4,0,0,6,4,4,0,4,0,10,15,9,0,0,41,0,0,8,0,0,0,0,0,0,0,18,12,56,58,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,18,9,11,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_642",30,43,36,5,14,10,15,27,65,0,7,0,0,4,7,23,17,10,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,11,0,0,0,8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_804",0,3,9,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0,9,14,0,4,0,0,0,0,2,0,0,0,0,0,14,13,4,0,0,0,7,4,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0
"ASV_610",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,5,7,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,4,0,0,4,0,33,0,0,7,0,0,0,0,0,4,5,0,0,0,0,71,26,61,0,0,0,0,0,0,0,0,5,0,7,14,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,6,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ASV_14",8,1244,1306,182,141,59,79,12,14,0,0,0,0,7,7,0,4,0,4,0,0,204,314,31,98,0,7,6,3,4,8,8,0,0,11,3367,4757,147,299,207,161,134,0,18,5,37,0,5,4,5,5,0,0,11,0,293,102,13383,9387,4390,5378,4233,4505,433,176,17,289,24,28,4,25,3,15,9,7,0,0,0,2,1128,1082,644,572,1072,376,28,38,36,15,19,26,13,0,0,186,387,383,303,28,17,8,4,14,12,3,5,0,0,7,10672,17036,206,182,32,18,29,19,0,0,2855,5897,12464,18651,142,151,28,46,31,25,15,0,0,306,338,309,337,109,89,125,34,113,68,56,0,27,9,10,8,37,42,21,25,14,21,14,7,24,6,0,18
"ASV_315",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,16,23,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,26,35,48,72,106,79,118,35,328,93,106,81,0,0,0,0,0,0,11,0,0,133,20,50
"ASV_112",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,27,26,0,0,0,0,0,0,0,5,6,0,27,10,0,0,0,0,24,20,12,6,12,0,11,5,5,12,6,0,0,23,11,4,10,0,44,122,89,170,483,360,63,41,0,0,0,5,15,12,7,0,15,23,188,201,6,186,20,83,11,7,8,15,5,169,84,902,858,83,62,25,41,85,176,81,99,205,131,118,150,149,0,9,58,37,74,75,204,206,295,355,723,457,683,111,919,329,537,351,46,42,30,39,43,61,30,49,26,227,70,89
"ASV_202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,24,27,24,44,43,0,0,0,0,0,0,0,9,0,6,0,0,39,46,0,0,0,0,0,0,0,0,0,0,16,152,166,0,0,0,24,39,58,31,41,94,55,25,32,44,0,0,0,0,17,41,69,98,131,155,319,215,303,60,789,207,287,169,0,0,0,0,0,25,20,0,20,90,38,44
"ASV_200",0,14,8,17,27,16,23,0,0,0,0,13,0,0,0,0,4,9,0,0,0,27,26,30,43,0,0,0,0,0,6,0,0,8,0,28,13,21,30,13,18,27,0,0,0,0,0,0,14,0,0,0,0,0,0,7,0,29,12,88,54,70,46,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,15,24,0,0,0,0,0,0,0,11,0,0,13,0,0,0,13,0,45,50,29,12,41,0,22,0,29,28,0,0,34,50,11,0,24,0,58,37,46,37,111,53,129,254,28,25,27,17,22,0,16,0,0,75,41,33,65,126,31,94,119,225,233,181,65,37,19,12,5,0,9,11,22,29,10,44,99,19,39,130,75
"ASV_366",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,16,12,24,90,102,0,13,14,49,0,0,0,18,0,0,0,0,0,0,0,0,40,125,68,134,110,15,6,45,20,0,0,10,0,0,0,0,0,0,8,0,0,21,0,13,23,0,52,20,12,0,0,0,0,0,0,0,0,0,13,0,27,0,27,21,18,0,12,18,0,14,0,18,0,0,0,11,0,0,0,0,0,0,0,20,19,0,23,0,0,0,0,0,0,0,0,0,16,0,15,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,26,22,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,25,0,0,11,5,0,0,0,0,0,0,0,6,0,0,0,0,0,15,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
