"","description","sampleID","Date","Years","Month","Day","month.numeric","week","Period","Mean_temp_t0_t7","Cumul_precip_t1_t7_mm","Site","Bloom","Tot.P_ug","Tot.N_mg","Dissolved.P","Dissolved.N","Microcystin","P_range","N_range","Temp.water","profondeur_secchi_cm","microcystin_ug_L","micro.sum","doli.sum","cyano.sum","micro.relab.sum","doli.relab.sum","cyano.relab.sum","micro.helli.sum","doli.helli.sum","cyano.helli.sum"
"09.05.2007.2","09.05.2007.2","FLD0218_09_05_2007_2","2007-5-09",2007,"May",9,5,19,"Spring",11.425,0,"Pelagic","no",58.56,789.05,11.285,0.65675,NA,"Mesotrophic","Mesotrophic",28.2,NA,0.0072,0,12,1975,0,0.00012448132780083,0.0204875518672199,0,0.011157120049584,0.685703960625305
"06.07.2007.1","06.07.2007.1","FLD0219_06_07_2007_1","2007-7-06",2007,"July",6,7,27,"Summer",16.15,17.6,"Littoral","no",63.375,1025.3,32.355,0.4888,NA,"Mesotrophic","Mesotrophic",26.04,NA,0.0028,0,0,4798,0,0,0.0730645063044405,0,0,0.952383782127655
"06.07.2007.2","06.07.2007.2","FLD0220_06_07_2007_2","2007-7-06",2007,"July",6,7,27,"Summer",16.15,17.6,"Pelagic","no",36.52,601.15,17.44,0.4489,NA,"Mesotrophic","Mesotrophic",19.92,NA,0.00217,3,0,3324,6.65527874525811e-05,0,0.0737404884974599,0.00815798917948419,0,1.29078790058977
"02.08.2007.1","02.08.2007.1","FLD0221_02_08_2007_1","2007-8-02",2007,"August",2,8,31,"Summer",22.25,2.8,"Littoral","no",46.655,580.8,21.805,0.35985,NA,"Mesotrophic","Mesotrophic",20.61,NA,0.0033,22,7,2545,0.000469343345991381,0.000149336519179076,0.0542944916158211,0.021664333499819,0.012220332204121,1.18940604952003
"02.08.2007.2","02.08.2007.2","FLD0222_02_08_2007_2","2007-8-02",2007,"August",2,8,31,"Summer",22.25,2.8,"Pelagic","no",43.88,577.3,18.34,0.4217,NA,NA,NA,NA,NA,NA,11,0,3062,0.00019584104828372,0,0.0545150263495229,0.0139943220015734,0,1.2934350980293
"22.08.2007.1","22.08.2007.1","FLD0223_22_08_2007_1","2007-8-22",2007,"August",22,8,34,"Summer",15.05,22.2,"Littoral","no",66.915,552.75,27.085,0.3932,NA,"Mesotrophic","Mesotrophic",20.3,NA,0.00044,20,0,2663,0.000385185755830749,0,0.0512874833888643,0.0196261497964004,0,1.39049120675893
"22.08.2007.2","22.08.2007.2","FLD0224_22_08_2007_2","2007-8-22",2007,"August",22,8,34,"Summer",15.05,22.2,"Pelagic","no",49.495,458.25,25.49,0.3647,NA,"Mesotrophic","Mesotrophic",20.2,NA,0.002,18,148,2897,0.00038587690526722,0.00317276566553047,0.0621047441421742,0.0196437497761303,0.0959196232515868,1.44703367080061
"05.09.2007.1","05.09.2007.1","FLD0225_05_09_2007_1","2007-9-05",2007,"September",5,9,36,"Summer",16.0375,9.2,"Littoral","no",55.12,490,29.305,0.3454,NA,"Mesotrophic","Mesotrophic",18,NA,0.000594,51,2088,12038,0.000490696018627206,0.0200896722920315,0.115823503377143,0.0221516595005251,0.26357457702813,2.37123083825547
"05.09.2007.2","05.09.2007.2","FLD0226_05_09_2007_2","2007-9-05",2007,"September",5,9,36,"Summer",16.0375,9.2,"Pelagic","no",50.885,472.85,23.13,0.31455,NA,"Mesotrophic","Mesotrophic",17.44,NA,6e-04,44,896,4674,0.000831569398246144,0.0169337768370124,0.0883353492591473,0.028836945022768,0.221942442397102,1.9045435872893
"19.09.2007.1","19.09.2007.1","FLD0227_19_09_2007_1","2007-9-19",2007,"September",19,9,38,"Fall",12.7625,18.6,"Littoral","no",76.84,522.05,25.21,0.3459,NA,"Mesotrophic","Mesotrophic",19,NA,0.000646,12,390,6510,0.000204743217880908,0.0066541545811295,0.111073195700392,0.0143088510328715,0.114640017436367,1.92516003480541
"19.09.2007.2","19.09.2007.2","FLD0228_19_09_2007_2","2007-9-19",2007,"September",19,9,38,"Fall",12.7625,18.6,"Pelagic","no",92.47,527.3,21.16,0.32775,NA,"Mesotrophic","Mesotrophic",19,NA,5e-04,6,949,4646,0.000176548477269384,0.0279240841547742,0.136707370898926,0.0132871545964282,0.265164633200345,2.01861736884467
"26.09.2007.2","26.09.2007.2","FLD0230_26_09_2007_2","2007-9-26",2007,"September",26,9,39,"Fall",18.075,0,"Pelagic","no",44.155,474.15,21.255,0.35705,NA,"Eutrophic","Mesotrophic",NA,NA,NA,0,1546,5601,0,0.0344152085837674,0.124682783491385,0,0.298348741476514,1.93822835175686
"07.10.2008.5b","07.10.2008.5b","FLD0251_07_10_2008_5b","2008-10-07",2008,"October",7,10,41,"Fall",8.65,15.4,"Pelagic","no",NA,440,NA,0.32,0.3,"Mesotrophic","Eutrophic",NA,NA,NA,700,1607,7937,0.00971668910759151,0.0223067419941422,0.110173373495648,0.138226766623829,0.341695711517724,2.16972156810017
"07.10.2008.6b","07.10.2008.6b","FLD0252_07_10_2008_6b","2008-10-07",2008,"October",7,10,41,"Fall",8.65,15.4,"Pelagic","no",NA,440,NA,0.32,NA,"Mesotrophic","Eutrophic",NA,NA,NA,855,1203,6190,0.0173182094389305,0.024367024508811,0.125379785294713,0.180289414301136,0.310770470299176,2.04049269662336
"27.10.2008.1","27.10.2008.1","FLD0253_27_10_2008_1","2008-10-27",2008,"October",27,10,43,"Fall",6.15,42.6,"Littoral","no",37.975,NA,31.44,NA,NA,"Mesotrophic","Mesotrophic",15,170.25,NA,48,7,1324,0.00136791108577942,0.000199487033342833,0.0377315474494158,0.0369852820156806,0.0141239878696788,0.627466792306612
"27.10.2008.2","27.10.2008.2","FLD0254_27_10_2008_2","2008-10-27",2008,"October",27,10,43,"Fall",6.15,42.6,"Pelagic","no",46.115,NA,27.033,NA,NA,"Mesotrophic","Mesotrophic",14,160.25,NA,183,15,5215,0.00599430050116283,0.000491336106652691,0.170821186412919,0.107806263578453,0.0221661026491508,1.84116235142211
"22.05.2008.1","22.05.2008.1","FLD0232_22_05_2008_1","2008-5-22",2008,"May",22,5,21,"Spring",10.4875,53.4,"Littoral","no",128.82,527,NA,NA,NA,NA,NA,NA,NA,NA,0,0,839,0,0,0.0118625136086643,0,0,0.451784386001758
"01.06.2008.1","01.06.2008.1","FLD0233_01_06_2008_1","2008-6-01",2008,"June",1,6,22,"Spring",13.425,48.6,"Littoral","no",NA,NA,NA,NA,NA,"Mesotrophic","Mesotrophic",NA,NA,NA,0,0,13837,0,0,0.32749520721403,0,0,2.2465788138168
"25.06.2008.a","25.06.2008.a","FLD0236_25_06_2008_a","2008-6-25",2008,"June",25,6,26,"Summer",16.5375,26.6,"Littoral","no",52.13,1470,NA,NA,NA,"Mesotrophic","Mesotrophic",NA,NA,NA,0,0,15325,0,0,0.205588795578332,0,0,1.85242574875002
"25.06.2008.b","25.06.2008.b","FLD0237_25_06_2008_b","2008-6-25",2008,"June",25,6,26,"Summer",16.5375,26.6,"Pelagic","no",35.27,910,NA,NA,NA,"Mesotrophic","Mesotrophic",24.47,NA,NA,0,0,21527,0,0,0.182926725639653,0,0,1.84777988630819
"15.07.2008.2","15.07.2008.2","FLD0240_15_07_2008_2","2008-7-15",2008,"July",15,7,29,"Summer",20.2125,27.4,"Pelagic","no",69.43,541,NA,NA,NA,"Eutrophic","Eutrophic",NA,NA,NA,630,2303,3149,0.0387120560403097,0.141514071525132,0.193498832493548,0.247869729372557,0.665755539343443,1.35130181840783
"04.08.2008.4b","04.08.2008.4b","FLD0241_04_08_2008_4b","2008-8-04",2008,"August",4,8,31,"Summer",20.225,26.8,"Pelagic","yes",110.507,1670,47.295,0.654,NA,"Eutrophic","Mesotrophic",NA,NA,6390,1338,6423,7783,0.0955373081042485,0.458621920742592,0.555730096394145,0.433343568599398,1.44462084848744,1.9560095031899
"04.08.2008.2b","04.08.2008.2b","FLD0242_04_08_2008_2b","2008-8-04",2008,"August",4,8,31,"Summer",20.225,26.8,"Littoral","yes",190.69,1130,146.77,0.5,6390,"Eutrophic","Mesotrophic",NA,NA,NA,6832,17813,25316,0.122257614258616,0.318760960595541,0.4530260191117,0.460963811130557,1.22592879381302,2.15243923115018
"18.08.2008.4d","18.08.2008.4d","FLD0243_18_08_2008_4d","2008-8-18",2008,"August",18,8,33,"Summer",18.2125,21,"Pelagic","yes",268.72,720,22.66,0.69,NA,"Eutrophic","Mesotrophic",NA,NA,NA,7611,8702,24169,0.0793928962603661,0.0907734835445679,0.252114953319773,0.393163637288078,0.804070840394512,3.07266969015267
"29.08.2008.1","29.08.2008.1","FLD0245_29_08_2008_1","2008-8-29",2008,"August",29,8,35,"Summer",18.6,5,"Littoral","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,181,1315,0.0122817030019404,0.00413194840771601,0.0300194041776053,0.156570835772791,0.110934393409285,0.776991581499079
"03.09.2008.2b","03.09.2008.2b","FLD0248_03_09_2008_2b","2008-9-03",2008,"September",3,9,36,"Summer",18.7875,0.2,"Littoral","no",47.64,560,17.28,0.38,NA,"Mesotrophic","Mesotrophic",18.16,NA,0.4,3015,688,7744,0.0487414520587807,0.0111224275344747,0.125191975039203,0.311493027752681,0.231977188623406,1.79085050259152
"17.09.2008.1d","17.09.2008.1d","FLD0249_17_09_2008_1d","2008-9-17",2008,"September",17,9,38,"Fall",15.425,19.2,"Littoral","no",80.4,NA,32.82,NA,0,NA,NA,NA,NA,0.3,16696,3678,24894,0.0862116150219712,0.0189917537165075,0.128542881190522,0.437006759997013,0.366101196946983,1.65268158807278
"17.09.2008.3b","17.09.2008.3b","FLD0250_17_09_2008_3b","2008-9-17",2008,"September",17,9,38,"Fall",15.425,19.2,"Pelagic","no",71.16,720,30.59,0.539,0.4,NA,NA,NA,NA,NA,1568,382,4844,0.0184801056006034,0.00450216858382048,0.0570903262304356,0.188426212863388,0.165347364128639,1.15843676637126
"15.10.2009.1","15.10.2009.1","FLD0275_15_10_2009_1","2009-10-15",2009,"October",15,10,42,"Fall",5.025,14,"Littoral","no",33.98,NA,NA,NA,1e-04,"Mesotrophic","Eutrophic",NA,NA,NA,35,10,4558,0.00045248283797236,0.000129280810849246,0.0589261935850862,0.0212716439884735,0.0113701719797568,1.23060233473636
"15.10.2009.p2","15.10.2009.p2","FLD0276_15_10_2009_p2","2009-10-15",2009,"October",15,10,42,"Fall",5.025,14,"Pelagic","no",38.86,NA,NA,NA,NA,NA,NA,15.6,242.75,NA,32,81,10581,0.000452296819787986,0.00114487632508834,0.149554770318021,0.021267271094054,0.0474405603716229,2.0969806571568
"20.05.2009.1","20.05.2009.1","FLD0255_20_05_2009_1","2009-5-20",2009,"May",20,5,20,"Spring",11.9,23.6,"Littoral","no",63.091,953,43.944,0.821,NA,NA,NA,NA,NA,NA,63,6,8150,0.000817247820672478,7.78331257783313e-05,0.105723329182233,0.0285875466011422,0.00882230841550732,1.43003190140319
"20.05.2009.2","20.05.2009.2","FLD0256_20_05_2009_2","2009-5-20",2009,"May",20,5,20,"Spring",11.9,23.6,"Pelagic","no",64.177,787,59.02,0.639,NA,NA,NA,NA,NA,NA,1754,570,18386,0.0156535863133752,0.00508696932646741,0.16408599655514,0.162168261482786,0.130466952289957,2.68359164347007
"08.07.2009.1","08.07.2009.1","FLD0259_08_07_2009_1","2009-7-08",2009,"July",8,7,27,"Summer",17.675,26.6,"Littoral","no",56.65,NA,NA,NA,NA,NA,NA,22.3,97.75,NA,55,0,6844,0.000500313833222658,0,0.0622572340831976,0.0223676961983718,0,0.832021922520215
"08.07.2009.2","08.07.2009.2","FLD0260_08_07_2009_2","2009-7-08",2009,"July",8,7,27,"Summer",17.675,26.6,"Pelagic","yes",58.26,NA,29.85,NA,NA,NA,NA,22,157.75,1.7,19455,5521,33142,0.205048482293423,0.0581892917369309,0.349304384485666,0.663680724049314,0.344619968411862,2.3227905161426
"12.07.2009.1b","12.07.2009.1b","FLD0261_12_07_2009_1b","2009-7-12",2009,"July",12,7,28,"Summer",17.2125,25.6,"Littoral","no",NA,924,NA,0.664,NA,"Mesotrophic","Mesotrophic",NA,NA,NA,383,37,625,0.150196078431373,0.0145098039215686,0.245098039215686,0.504714370280807,0.120456647477707,1.14372828322163
"12.07.2009.2b","12.07.2009.2b","FLD0262_12_07_2009_2b","2009-7-12",2009,"July",12,7,28,"Summer",17.2125,25.6,"Pelagic","no",NA,NA,5.412,0.601,1.7,NA,NA,NA,175.25,124,10741,4376,31013,0.0881645585205493,0.0359191982204565,0.254561721757545,0.410884813331706,0.267189520175911,1.96516784798856
"25.07.2009.b","25.07.2009.b","FLD0263_25_07_2009_b","2009-7-25",2009,"July",25,7,30,"Summer",19.5625,17.6,"Littoral","yes",64.006,719,29.563,0.488,NA,"Mesotrophic","Eutrophic",NA,NA,1.14,6869,275,7713,0.564142575558476,0.0225854139290407,0.63345926412615,1.15395245630446,0.28835457339075,1.7970433770776
"25.07.2009.p2","25.07.2009.p2","FLD0264_25_07_2009_p2","2009-7-25",2009,"July",25,7,30,"Summer",19.5625,17.6,"Pelagic","yes",NA,NA,9.377,0.781,124,"Eutrophic","Eutrophic",25,NA,NA,30520,36271,69869,0.274571544240025,0.326310107507535,0.628572713778058,0.855885453675593,1.20579646467317,2.49508467791647
"08.08.2009.p2","08.08.2009.p2","FLD0266_08_08_2009_p2","2009-8-08",2009,"August",8,8,32,"Summer",18.9,31.8,"Pelagic","no",NA,NA,9.436,0.376,0.623,NA,NA,26.5,NA,NA,7090,2171,13870,0.0762013262684995,0.023333297507604,0.149070859710027,0.446119016272043,0.360080060477815,1.86248490157382
"22.08.2009.1","22.08.2009.1","FLD0267_22_08_2009_1","2009-8-22",2009,"August",22,8,34,"Summer",22.95,19.4,"Littoral","no",NA,NA,NA,NA,NA,NA,NA,25.79,107.75,NA,207,82,669,0.0522199798183653,0.020686175580222,0.168768920282543,0.318792931363236,0.259158427522255,1.52701624779099
"22.08.2009.p1","22.08.2009.p1","FLD0268_22_08_2009_p1","2009-8-22",2009,"August",22,8,34,"Summer",22.95,19.4,"Pelagic","no",NA,NA,NA,NA,NA,"Mesotrophic","Eutrophic",NA,NA,0.06,442,321,9323,0.00745224326010352,0.00541214951695301,0.157188379895803,0.118514242020044,0.115017955168817,2.11569175346439
"02.09.2009.1","02.09.2009.1","FLD0269_02_09_2009_1","2009-9-02",2009,"September",2,9,35,"Summer",14.475,19,"Littoral","no",58.47,NA,NA,NA,NA,"Mesotrophic","Eutrophic",NA,NA,0.135,202,1124,8000,0.00344745195753831,0.0191828514865003,0.136532750793597,0.0970364605846809,0.225488037897337,1.97442483782705
"02.09.2009.2","02.09.2009.2","FLD0270_02_09_2009_2","2009-9-02",2009,"September",2,9,35,"Summer",14.475,19,"Pelagic","no",58.68,NA,NA,NA,0.135,NA,NA,NA,NA,NA,103,265,2425,0.00677052520870308,0.0174193124301584,0.159403142049563,0.0822832012545883,0.275073555942882,2.06284208855309
"16.09.2009.1","16.09.2009.1","FLD0271_16_09_2009_1","2009-9-16",2009,"September",16,9,37,"Fall",14.9,5.6,"Littoral","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,4183,14776,0.000831767793377407,0.0599876668913396,0.211900015774906,0.0400172109256571,0.367286943307932,2.42517733442626
"16.09.2009.2","16.09.2009.2","FLD0272_16_09_2009_2","2009-9-16",2009,"September",16,9,37,"Fall",14.9,5.6,"Pelagic","yes",NA,NA,NA,NA,NA,"Mesotrophic","Eutrophic",NA,105.25,0.0507,55,4857,8322,0.00168685784388897,0.148964882686704,0.25523692685171,0.0410713749938929,0.757609324420458,2.38505928062953
"23.09.2009.1","23.09.2009.1","FLD0273_23_09_2009_1","2009-9-23",2009,"September",23,9,38,"Fall",13.625,24.4,"Littoral","no",38.51,NA,18.39,NA,0.0507,"Mesotrophic","Eutrophic",17.45,134.25,0.0214,28,2888,4970,0.000937520926806402,0.0966985870220317,0.166409964508136,0.0306189635162003,0.622295286376188,1.93041093679503
"23.09.2009.2","23.09.2009.2","FLD0274_23_09_2009_2","2009-9-23",2009,"September",23,9,38,"Fall",13.625,24.4,"Pelagic","no",44.94,NA,23.59,NA,0.0214,"Mesotrophic","Eutrophic",NA,NA,1e-04,0,261,2090,0,0.00673114119922631,0.0539007092198582,0,0.133057797416816,1.21126664021323
"19.10.2010.1","19.10.2010.1","FLD0292_19_10_2010_1","2010-10-19",2010,"October",19,10,42,"Fall",6.4375,55.6,"Littoral","no",NA,1148,NA,0.976,NA,NA,NA,8.5,72.75,0.01,7,64,569,0.000133776707564117,0.0012231013263005,0.0108741352291404,0.0115661881172717,0.0483810376440754,0.342812136970499
"19.10.2010.2","19.10.2010.2","FLD0293_19_10_2010_2","2010-10-19",2010,"October",19,10,42,"Fall",6.4375,55.6,"Pelagic","no",NA,1054,NA,0.938,NA,"Mesotrophic","Mesotrophic",9,NA,0,0,42,497,0,0.00188222640494757,0.0222730124585462,0,0.0609124239321964,0.475754002742941
"05.05.2010.1","05.05.2010.1","FLD0277_05_05_2010_1","2010-5-05",2010,"May",5,5,18,"Spring",12.45,42.2,"Littoral","no",NA,836,NA,0.59,NA,NA,NA,13.4,110.75,NA,0,0,268,0,0,0.00646374993970383,0,0,0.248982596915693
"05.05.2010.2","05.05.2010.2","FLD0278_05_05_2010_2","2010-5-05",2010,"May",5,5,18,"Spring",12.45,42.2,"Pelagic","no",NA,742,NA,0.596,NA,NA,NA,18.6,197.75,NA,4,0,1324,8.98391878537418e-05,0,0.0297367711795885,0.00947835364679657,0,0.774628970503677
"16.06.2010.1","16.06.2010.1","FLD0279_16_06_2010_1","2010-6-16",2010,"June",16,6,24,"Summer",14.6625,17.2,"Littoral","no",NA,408,NA,0.471,NA,NA,NA,18.7,77.75,NA,0,0,307,0,0,0.0179953106682298,0,0,0.277531362173563
"16.06.2010.2","16.06.2010.2","FLD0280_16_06_2010_2","2010-6-16",2010,"June",16,6,24,"Summer",14.6625,17.2,"Pelagic","no",NA,256,NA,0.362,NA,NA,NA,NA,NA,0.38,7,2,670,0.000308928019771393,8.82651485061124e-05,0.0295688247495476,0.0175763483059307,0.00939495335305675,0.45077129244744
"05.07.2010.1","05.07.2010.1","FLD0281_05_07_2010_1","2010-7-05",2010,"July",5,7,27,"Summer",19.575,18.2,"Littoral","no",NA,447,NA,0.382,NA,"Mesotrophic","Mesotrophic",28.6,167.75,0.993,92,15,627,0.0032662335356978,0.000532538076472468,0.0222600915965492,0.0571509714326695,0.0230767865282944,0.549958907601055
"12.07.2010.1","12.07.2010.1","FLD0282_12_07_2010_1","2010-7-12",2010,"July",12,7,28,"Summer",25.2375,29.8,"Littoral","no",19.701,439,9.413,0.3,NA,"Mesotrophic","Mesotrophic",27.4,287.75,0.06,804,0,4403,0.0214657589106928,0,0.117554398611667,0.241412139423798,0,2.11477010715427
"12.07.2010.2","12.07.2010.2","FLD0283_12_07_2010_2","2010-7-12",2010,"July",12,7,28,"Summer",25.2375,29.8,"Pelagic","no",27.861,316,13.366,0.279,NA,"Eutrophic","Mesotrophic",24.2,117.75,2300,89,0,2033,0.00255600229753015,0,0.058385985066054,0.0505569213612751,0,0.887240047126717
"26.07.2010.1","26.07.2010.1","FLD0284_26_07_2010_1","2010-7-26",2010,"July",26,7,30,"Summer",20.35,30.6,"Littoral","yes",111.861,1180,28.972,0.489,NA,NA,NA,24.64,NA,0.153,14787,396,18171,0.225332581564391,0.00603446962193134,0.276899867424531,0.744280761664002,0.0890392018528387,1.62534146380693
"10.08.2010.1","10.08.2010.1","FLD0285_10_08_2010_1","2010-8-10",2010,"August",10,8,32,"Summer",19.9625,103.2,"Littoral","yes",NA,NA,NA,NA,NA,NA,NA,22.9,NA,0.516,100,1290,8282,0.00301695528872262,0.0389187232245218,0.249864237012007,0.0774867608306179,0.445698974694465,2.37573382660438
"10.08.2010.2","10.08.2010.2","FLD0286_10_08_2010_2","2010-8-10",2010,"August",10,8,32,"Summer",19.9625,103.2,"Pelagic","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378,527,1090,13652,0.0101788542511685,0.0210530382045042,0.263684474832928,0.173453651249698,0.242244808383222,2.22424444118172
"22.08.2010.1","22.08.2010.1","FLD0289_22_08_2010_1","2010-8-22",2010,"August",22,8,34,"Summer",19.37,23,"Littoral","yes",NA,748,NA,0.401,NA,"Mesotrophic","Mesotrophic",16.42,198.25,0.02,19,101,13488,0.000505346029044098,0.00268631310176073,0.358742486302463,0.0224799027810197,0.0732973023459143,1.0139669497329
"16.09.2010.1","16.09.2010.1","FLD0290_16_09_2010_1","2010-9-16",2010,"September",16,9,37,"Fall",13.725,37.4,"Littoral","no",43.482,445,2.211,0.388,NA,"Mesotrophic","Mesotrophic",16.2,162.75,0.06,10,211,675,0.000414748455062005,0.0087511924018083,0.0279955207166853,0.0203653739239427,0.144880693100313,0.464210033234386
