"","FLD0194_30_05_2006_2b","FLD0195_13_06_2006_1c","FLD0196_13_06_2006_2c","FLD0197_27_06_2006_1","FLD0198_27_06_2006_2","FLD0199_12_07_2006_1b","FLD0200_12_07_2006_2b","FLD0202_02_08_2006_1b","FLD0203_02_08_2006_2b","FLD0205_15_08_2006_2a","FLD0206_22_08_2006_1","FLD0207_22_08_2006_2","FLD0208_05_09_2006_1","FLD0209_05_09_2006_2","FLD0210_12_09_2006_1a","FLD0211_12_09_2006_2b","FLD0212_15_08_2006_1a","FLD0213_26_09_2006_2a","FLD0214_10_10_2006_1","FLD0215_16_10_2006_1b","FLD0216_16_10_2006_2b","FLD0219_06_07_2007_1","FLD0220_06_07_2007_2","FLD0221_02_08_2007_1","FLD0222_02_08_2007_2","FLD0223_22_08_2007_1","FLD0224_22_08_2007_2","FLD0225_05_09_2007_1","FLD0226_05_09_2007_2","FLD0227_19_09_2007_1","FLD0228_19_09_2007_2","FLD0229_26_09_2007_1","FLD0230_26_09_2007_2","FLD0231_10_10_2007_1","FLD0232_22_05_2008_1","FLD0233_01_06_2008_1","FLD0234_01_06_2008","FLD0236_25_06_2008_a","FLD0237_25_06_2008_b","FLD0238_02_07_2008","FLD0239_15_07_2008_1","FLD0240_15_07_2008_2","FLD0241_04_08_2008_4b","FLD0242_04_08_2008_2b","FLD0243_18_08_2008_4d","FLD0244_24_08_2008_2","FLD0245_29_08_2008_1","FLD0246_29_08_2008_2","FLD0248_03_09_2008_2b","FLD0249_17_09_2008_1d","FLD0250_17_09_2008_3b","FLD0251_07_10_2008_5b","FLD0252_07_10_2008_6b","FLD0253_27_10_2008_1","FLD0254_27_10_2008_2","FLD0255_20_05_2009_1","FLD0256_20_05_2009_2","FLD0257_17_06_2009_1","FLD0258_17_06_2009_2","FLD0259_08_07_2009_1","FLD0260_08_07_2009_2","FLD0261_12_07_2009_1b","FLD0262_12_07_2009_2b","FLD0263_25_07_2009_b","FLD0264_25_07_2009_p2","FLD0265_29_07_2009_1","FLD0266_08_08_2009_p2","FLD0267_22_08_2009_1","FLD0268_22_08_2009_p1","FLD0269_02_09_2009_1","FLD0270_02_09_2009_2","FLD0271_16_09_2009_1","FLD0272_16_09_2009_2","FLD0273_23_09_2009_1","FLD0274_23_09_2009_2","FLD0275_15_10_2009_1","FLD0276_15_10_2009_p2","FLD0277_05_05_2010_1","FLD0278_05_05_2010_2","FLD0279_16_06_2010_1","FLD0280_16_06_2010_2","FLD0281_05_07_2010_1","FLD0282_12_07_2010_1","FLD0283_12_07_2010_2","FLD0284_26_07_2010_1","FLD0285_10_08_2010_1","FLD0286_10_08_2010_2","FLD0289_22_08_2010_1","FLD0290_16_09_2010_1","FLD0291_16_09_2010_2","FLD0292_19_10_2010_1","FLD0293_19_10_2010_2","FLD0294_15_05_2011_1","FLD0295_15_05_2011_2","FLD0297_21_06_2011_1","FLD0298_21_06_2011_2","FLD0299_05_07_2011_1","FLD0300_05_07_2011_2","FLD0301_19_07_2011_1","FLD0302_19_07_2011_2","FLD0303_09_08_2011_1","FLD0304_09_08_2011_2","FLD0305_23_08_2011_1","FLD0306_23_08_2011_2","FLD0307_12_09_2011_1","FLD0308_12_09_2011_2","FLD0309_12_10_2011_1","FLD0310_12_10_2011_2","FLD0311_24_04_2012_1","FLD0312_07_06_2012_1","FLD0313_07_06_2012_2","FLD0314_20_07_2012_1","FLD0315_20_07_2012_2","FLD0316_14_08_2012_1","FLD0317_14_08_2012_2","FLD0318_17_09_2012_1","FLD0319_17_09_2012_2","FLD0320_17_10_2012_1","FLD0321_17_10_2012_2","FLD0323_05_06_2013_1","FLD0324_05_06_2013_2","FLD0325_03_07_2013_1","FLD0326_03_07_2013_2","FLD0327_16_08_2013_1","FLD0328_16_08_2013_2","FLD0329_27_08_2013_1","FLD0330_17_09_2013_1","FLD0331_17_09_2013_2","FLD0332_23_10_2013_1","FLD0333_23_10_2013_2","FLD0334_19_03_2015_p1","FLD0335_19_03_2015_p2","FLD0338_30_06_2015_p1","FLD0339_30_06_2015_L2","FLD0340_16_07_2015_p1","FLD0341_16_07_2015_L1","FLD0342_28_07_2015_1","FLD0344_30_07_2015_1","FLD0347_04_08_2015_1","FLD0351_10_08_2015_1","FLD0353_12_08_2015_1","FLD0355_13_08_2015_1","FLD0356_13_08_2015_2","FLD0357_03_09_2015_2","FLD0358_16_09_2015_1","FLD0359_16_09_2015_2","FLD0360_21_10_2015_1","FLD0361_21_10_2015_2","FLD0362_19_07_2016","FLD0363_20_07_2016","FLD0364_25_07_2016","FLD0365_27_07_2016","FLD0366_01_08_2016","FLD0367_09_08_2016","FLD0368_18_08_2016","FLD0369_23_08_2016","FLD0370_03_09_2016","FLD0371_15_09_2016","FLD0372_22_09_2016","FLD0373_25_10_2016"
"ASV_11",35,463,310,40,67,130,247,21,60,0,137,61,44,56,35,51,21,27,0,8,33,9,5,46,45,4960,9029,3406,2502,6396,8169,2568,2401,2863,247,896,1170,810,1003,327,1201,1494,6,427,164,538,103,81,825,1334,1239,122,338,179,41,661,101,255,168,1239,1567,1334,1016,238,68,1048,514,6874,5490,1611,4135,883,992,1347,1689,1743,1279,47,72,662,671,145,113,81,244,158,53,153,191,95,78,54,0,17,13,0,14,18,20,14,36,54,117,105,47,137,25,16,90,33,37,33,19,236,234,6370,4748,1347,887,221,84,159,250,162,167,92,365,704,238,167,0,0,26,9,71,71,58,28,118,60,249,234,144,16,51,54,101,23,4501,4879,5843,3969,5241,5621,4524,7082,5126,4599,295,721
"ASV_12",12,50,53,27,18,13,30,0,23,0,63,18,58,35,82,65,48,64,0,0,36,0,0,303,227,9523,12644,8198,6671,8583,10929,6504,8572,5718,287,1210,1503,1125,2121,1994,2768,2575,251,5109,719,7395,57,60,964,2223,1799,169,463,455,221,693,203,237,148,474,389,412,405,33,21,4736,115,144,334,150,329,462,1090,1944,2197,1596,1467,86,52,144,183,54,143,92,495,737,394,702,153,141,20,58,0,15,0,29,0,6,0,29,331,182,596,372,327,483,92,78,25,55,0,468,988,1975,1871,1704,1305,817,591,75,48,0,76,57,267,113,1666,1994,1064,521,0,11,0,15,41,25,0,17,56,0,133,112,24,0,31,10,41,9,0,25,0,0,55,166,119,88,96,58,10,26
"ASV_13",14,22,42,10,0,15,24,15,17,0,18,7,0,17,9,7,5,0,0,2,0,609,7036,343,441,146,253,87,44,48,66,66,73,23,10,72,79,936,3269,1939,1715,1750,134,3816,450,4575,29,24,135,186,164,46,105,23,21,140,35,62,42,144,140,148,176,11,0,6822,15,32,220,0,17,58,36,225,390,104,88,0,6,0,12,2536,4796,2360,1657,164,102,14,27,10,104,56,5,0,0,0,57,42,3593,2239,3226,2605,478,326,42,95,14,21,96,124,103,4808,5422,100,90,29,31,13,8,9,20,649,544,194,2048,69,261,290,20,13,0,0,603,304,483,414,112,288,672,736,1209,541,938,11,66,58,55,7,14606,14968,11345,10614,3942,1376,1100,352,2825,62,7,239
"ASV_14",8,1244,1306,182,141,59,79,12,14,0,0,0,7,7,0,4,0,0,4,0,0,204,314,31,98,0,7,6,3,4,8,8,0,0,11,3373,4764,147,299,207,161,134,0,18,5,37,0,5,4,4,5,0,0,11,0,293,103,13172,9396,4390,5385,4247,4510,433,176,17,289,24,28,4,25,3,15,9,7,0,0,0,2,1129,1083,644,572,1072,378,28,38,36,15,19,26,13,0,0,186,387,383,303,28,17,8,4,14,12,3,5,0,0,7,10493,17108,206,182,32,18,29,19,0,0,2855,5896,12296,18372,142,151,28,46,33,25,15,0,0,306,338,309,337,109,89,125,34,113,68,56,0,27,9,10,8,37,42,21,25,14,21,14,7,24,6,0,18
"ASV_15",3,13,10,0,0,4,3,0,0,0,6,17,39,34,25,22,14,23,0,15,11,0,10,0,0,2227,1763,2083,962,5180,6781,1566,1739,820,63,186,306,113,142,63,148,136,9,417,395,559,62,21,571,1205,880,57,248,92,36,400,112,69,63,215,205,183,148,34,11,891,40,345,8025,1718,3055,700,1465,1935,2781,1565,1590,93,69,285,306,54,90,38,729,1132,380,162,120,86,92,101,17,4,0,6,38,25,26,7,2560,2536,2231,1871,875,1426,145,204,248,52,63,1882,1585,1346,816,333,315,144,72,49,20,41,28,781,2459,956,3318,4185,1426,637,0,0,26,13,33,36,46,13,46,31,157,163,36,0,21,21,42,17,15,30,62,100,974,13744,10734,7115,1736,2000,183,521
"ASV_16",181,2594,2481,281,376,510,583,0,0,0,6,6,0,0,0,0,0,0,0,171,254,0,36,0,0,0,0,0,5,0,0,30,54,49,588,1275,1904,706,3415,719,149,200,0,14,7,17,11,0,3,0,0,0,0,16,19,178,52,137,237,183,206,181,221,41,26,22,0,0,0,0,0,0,0,0,0,0,0,0,22,24783,34401,3602,462,214,157,12,12,6,18,27,23,12,4,0,32,135,420,350,326,419,0,17,0,0,0,0,0,18,512,7610,10467,134,152,6,5,7,9,44,22,3300,3186,609,821,5,7,0,5,11,26,36,33,41,230,218,1435,1089,262,155,103,21,62,41,29,0,0,0,17,9,9,6,11,11,7,6,0,0,10,0,0,2
"ASV_17",0,10,0,6,16,0,16,0,12,3,12,56,52,62,73,54,57,85,5,18,51,3,258,6267,11846,128,253,76,60,120,140,326,198,493,11,16,15,21,30,19,58,76,23,383,12626,544,49,33,4380,3437,2872,2199,6639,54,17,199,47,63,24,128,174,297,661,113,18,371,7690,508,550,31,119,143,523,215,171,136,70,0,0,26,24,0,21,13,147,1583,1284,186,14,13,34,13,4,0,0,14,8,0,654,545,529,460,322,275,19,71,5,14,9,0,16,1444,1105,341,326,32,39,0,0,16,0,18,13,16,83,13,252,303,104,65,0,0,14,8,22,21,0,178,1004,1972,5412,3181,4022,150,315,255,275,42,982,1005,826,452,546,381,234,279,379,38,5,35
"ASV_18",0,0,0,0,0,0,0,0,0,0,0,0,11,10,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,8,0,13,0,0,10,26,25,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,159,64,103,842,517,11182,7850,4921,3042,62,49,480,679,183,93,221,698,10786,9746,2968,829,973,25,51,13,8,39,78,146,95,82,51,337,127,10974,7500,2666,8333,857,1434,116,372,458,247,393,4474,8368,6065,3455,741,420,60,11,13,18,33,17,17,57,70,37,15,0,0,0,0,9,14,6,0,14,13,46,23,13,8,22,8,11,18,0,0,0,0,0,21,12,0,0,9,0,8
"ASV_19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,79,417,726,181,373,282,99,199,371,0,0,0,0,0,0,201,716,1135,755,413,56,136,0,0,0,0,0,0,328,192,2808,2907,797,662,585,1075,669,1916,2587,4177,0,41,0,3973,5767,3666,3403,959,532,237,160,0,0,59,83,2323,1553,1549,747,3336,97,142,0,0,81,78,183,61,95,67,119,148,230,285,209,662,9346,8032,2622,874,349,487,329,265,1545,2246,14571,8183,1254,2506,505,122
"ASV_20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,166,42,382,467,681,1031,301,0,0,0,0,10,3,0,0,0,60,94,110,0,0,255,1723,1269,255,1076,56,9,28,2,4,17,3,6,0,17,0,0,47,0,57,1522,532,913,10963,15581,26091,19216,9761,10601,37,35,29,37,104,171,71,101,326,139,33,12,7,22,0,0,7,0,0,9,0,7,0,442,256,100,109,80,135,11,13,0,0,0,17,92,184,755,149,59,32,20,0,0,0,0,13,146,79,492,817,103,48,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,22,20,46,35,183,664,512,361,245,0,0,0
"ASV_21",0,0,0,0,0,0,0,0,0,0,6,0,9,22,6,6,0,0,0,0,0,0,2,10,10,157,177,1470,763,924,1516,1081,1790,361,10,3,7,5,9,11,15,13,66,1338,488,1296,16,8,172,203,123,48,189,3,0,5,4,0,0,3,5,14,2,0,0,5284,4,119,3493,862,975,1542,2148,4911,7194,1799,926,2,7,14,26,48,3429,465,8167,2961,1166,38,32,21,28,27,7,0,0,0,0,38,12,7,9339,6433,920,512,50,194,6,13,13,11,11,15975,13239,316,468,107,73,14,8,8,0,9,0,0,298,98,670,1096,47,11,0,0,5,0,15,5,0,0,10,0,18,14,0,0,6,0,6,0,0,0,6,11,45,100,777,642,61,4,0,9
"ASV_22",0,32,0,0,0,0,0,103,155,0,85,88,375,353,714,872,94,133,37,377,538,354,541,92,254,0,0,81,90,36,23,152,163,158,224,273,357,616,1581,4352,2229,2209,62,571,346,714,78,76,595,678,631,233,466,149,67,100,34,163,125,96,148,178,115,325,150,261,333,95,66,19,50,0,0,0,0,22,0,22,0,86,136,56,44,155,111,48,57,33,21,48,0,0,0,0,0,0,129,58,54,40,21,0,28,45,0,0,24,37,40,77,130,221,277,107,131,475,367,126,61,122,91,219,497,3034,1018,697,444,1083,356,393,78,23,762,682,1747,1474,2441,1880,2796,3206,4369,3672,3743,899,2177,1946,2487,1016,69,81,50,0,54,48,0,0,61,0,0,55
"ASV_23",3,5,10,8,0,704,625,3833,6683,226,669,548,425,646,354,424,17,15,0,25,26,188,310,0,12,0,0,0,0,0,0,0,0,0,9,26,33,107,543,786,230,272,10,94,16,126,348,361,8,0,8,5,4,0,0,0,0,21,16,63,138,561,1420,90,39,59,480,108,644,20,50,10,28,12,14,14,0,0,0,9,33,2991,2200,6499,302,36,24,0,7,0,7,0,0,0,6,21,1167,849,288,313,107,71,36,61,0,5,0,0,13,8,13,174,371,8,0,0,4,0,0,0,10,1008,843,70,757,52,51,0,11,9,0,0,12750,8913,3576,3867,360,248,248,159,272,151,147,13,38,31,21,39,7811,6977,4511,2834,1046,446,146,102,925,0,7,70
"ASV_24",0,440,342,67,177,284,495,87,143,18,49,86,100,92,58,151,109,132,19,75,82,86,158,238,451,78,144,0,0,52,81,0,0,48,0,48,63,189,173,95,216,171,0,0,0,69,83,44,116,231,161,0,39,427,163,91,0,288,170,689,326,789,684,0,16,161,360,102,76,17,52,0,30,41,93,151,199,0,15,490,494,190,147,112,593,341,90,26,75,46,689,933,13,0,103,339,298,311,603,142,495,518,589,583,1215,1050,1325,1421,14,213,222,85,0,170,57,102,89,117,67,205,70,120,143,57,59,8,178,386,601,481,0,6,279,200,1004,1142,1564,678,1428,1175,2518,2429,1842,36,122,330,1509,744,2823,3364,3460,3897,5788,4157,870,1305,5422,1547,112,379
"ASV_25",6,66,54,8,10,94,162,68,116,15,207,209,330,321,492,504,151,261,124,1811,1795,37,34,35,86,21,37,51,58,118,180,237,215,363,18,65,55,110,118,101,459,546,3,154,60,145,294,202,415,395,335,55,78,403,65,97,20,271,175,912,1235,1087,1180,289,107,248,305,137,100,68,112,35,86,80,94,289,135,12,0,118,114,34,47,30,112,196,55,381,4782,5232,497,490,0,6,0,11,32,9,119,83,846,1319,1387,995,151,1156,151,648,44,48,88,39,22,97,52,218,218,92,51,120,114,236,432,2214,1354,3097,2423,3131,2592,2185,42,20,327,296,1393,1064,1283,899,1153,1371,2509,1638,1843,339,1404,814,3939,1669,136,159,127,150,154,197,146,139,233,358,65,737
