"","description","sampleID","Date","Years","Month","Day.x","month.numeric.x","week.x","Period","Mean_temp_t0_t7","Cumul_precip_t1_t7_mm","Site","Bloom","Tot.P_ug","Tot.N_mg","Dissolved.P","Dissolved.N","Microcystin","P_range","N_range","Temp.water","profondeur_secchi_cm","microcystin_ug_L","micro.sum.x","doli.sum.x","cyano.sum.x","micro.relab.sum.x","doli.relab.sum.x","cyano.relab.sum.x","micro.helli.sum.x","doli.helli.sum.x","cyano.helli.sum.x","Day.y","month.numeric.y","week.y","micro.sum.y","doli.sum.y","cyano.sum.y","micro.relab.sum.y","doli.relab.sum.y","cyano.relab.sum.y","micro.helli.sum.y","doli.helli.sum.y","cyano.helli.sum.y"
"11","03.07.2013.1","FLD0325_03_07_2013_1","2013-7-03",2013,"July",3,7,27,"Summer",20.27,18.4,"Littoral","no",30.088,971,19.038,0.9,NA,"Mesotrophic","Mesotrophic",20.5,187.25,0.05,27,152,2932,0.000758576,0.004270503,0.082375748,0.027542261,0.065349083,0.589999084,3,7,27,27,152,2932,0.000758576124518866,0.00427050262692102,0.082375748040345,0.0275422607009458,0.0653490828315212,0.589999084395561
"12","03.07.2013.2","FLD0326_03_07_2013_2","2013-7-03",2013,"July",3,7,27,"Summer",20.27,18.4,"Pelagic","no",29.595,1051,19.53,1.025,NA,"Eutrophic","Eutrophic",23.2,90.25,1.37,109,213,7840,0.001119165,0.002186993,0.080497772,0.045082814,0.066131562,0.60491604,3,7,27,109,213,7840,0.00111916545167053,0.00218699303858554,0.0804977719366696,0.0450828143511676,0.0661315615802493,0.604916039667055
"13","03.09.2008.2b","FLD0248_03_09_2008_2b","2008-9-03",2008,"September",3,9,36,"Summer",18.7875,0.2,"Littoral","no",47.64,560,17.28,0.38,NA,"Mesotrophic","Mesotrophic",18.16,NA,0.4,3015,688,7744,0.048741452,0.011122428,0.125191975,0.311493028,0.231977189,1.790850503,3,9,36,3015,688,7744,0.0487414520587807,0.0111224275344747,0.125191975039203,0.311493027752681,0.231977188623406,1.79085050259152
"14","03.09.2015.2","FLD0357_03_09_2015_2","2015-9-03",2015,"September",3,9,36,"Summer",19.1875,0,"Pelagic",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","03.09.2016","FLD0370_03_09_2016","2016-9-03",2016,"September",3,9,36,"Summer",18.15,39.4,"Littoral",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","04.08.2008.2b","FLD0242_04_08_2008_2b","2008-8-04",2008,"August",4,8,31,"Summer",20.225,26.8,"Littoral","yes",190.69,1130,146.77,0.5,6390,"Eutrophic","Mesotrophic",NA,NA,NA,6832,17813,25316,0.122257614,0.318760961,0.453026019,0.460963811,1.225928794,2.152439231,4,8,31,6832,17813,25316,0.122257614258616,0.318760960595541,0.4530260191117,0.460963811130557,1.22592879381302,2.15243923115018
"17","04.08.2008.4b","FLD0241_04_08_2008_4b","2008-8-04",2008,"August",4,8,31,"Summer",20.225,26.8,"Pelagic","yes",110.507,1670,47.295,0.654,NA,"Eutrophic","Mesotrophic",NA,NA,6390,1338,6423,7783,0.095537308,0.458621921,0.555730096,0.433343569,1.444620848,1.956009503,4,8,31,1338,6423,7783,0.0955373081042485,0.458621920742592,0.555730096394145,0.433343568599398,1.44462084848744,1.9560095031899
"18","04.08.2015.1","FLD0347_04_08_2015_1","2015-8-04",2015,"August",4,8,31,"Summer",21.1875,21,"Littoral",NA,105.2887,1329.550599,15,514,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","05.05.2010.1","FLD0277_05_05_2010_1","2010-5-05",2010,"May",5,5,18,"Spring",12.45,42.2,"Littoral","no",NA,836,NA,0.59,NA,NA,NA,13.4,110.75,NA,0,0,268,0,0,0.00646375,0,0,0.248982597,5,5,18,0,0,268,0,0,0.00646374993970383,0,0,0.248982596915693
"20","05.05.2010.2","FLD0278_05_05_2010_2","2010-5-05",2010,"May",5,5,18,"Spring",12.45,42.2,"Pelagic","no",NA,742,NA,0.596,NA,NA,NA,18.6,197.75,NA,4,0,1324,8.98e-05,0,0.029736771,0.009478354,0,0.774628971,5,5,18,4,0,1324,8.98391878537418e-05,0,0.0297367711795885,0.00947835364679657,0,0.774628970503677
"21","05.06.2013.1","FLD0323_05_06_2013_1","2013-6-05",2013,"June",5,6,23,"Spring",18.7375,2.8,"Littoral","no",48.897,1996,30.864,1.942,NA,"Mesotrophic","Mesotrophic",26.2,237.75,0.02,0,0,1328,0,0,0.030824223,0,0,0.804097777,5,6,23,0,0,1328,0,0,0.0308242230113966,0,0,0.804097776646669
"22","05.06.2013.2","FLD0324_05_06_2013_2","2013-6-05",2013,"June",5,6,23,"Spring",18.7375,2.8,"Pelagic","no",45.035,1506,31.663,1.504,NA,"Mesotrophic","Mesotrophic",21,70.25,0.2,3,0,545,7.17e-05,0,0.013029861,0.008469003,0,0.46072909,5,6,23,3,0,545,7.17240060248165e-05,0,0.0130298610945083,0.00846900265821286,0,0.460729089826383
"23","05.07.2010.1","FLD0281_05_07_2010_1","2010-7-05",2010,"July",5,7,27,"Summer",19.575,18.2,"Littoral","no",NA,447,NA,0.382,NA,"Mesotrophic","Mesotrophic",28.6,167.75,0.993,92,15,627,0.003266234,0.000532538,0.022260092,0.057150971,0.023076787,0.549958908,5,7,27,92,15,627,0.0032662335356978,0.000532538076472468,0.0222600915965492,0.0571509714326695,0.0230767865282944,0.549958907601055
"24","05.07.2011.1","FLD0299_05_07_2011_1","2011-7-05",2011,"July",5,7,27,"Summer",20.1375,39.8,"Littoral","no",16.954,583,16.621,0.449,0.17,"Mesotrophic","Mesotrophic",27.03,NA,0.81,318,11893,15786,0.001934883,0.072363417,0.096050526,0.060598396,0.736937025,1.438069794,5,7,27,318,11893,15786,0.00193488326812736,0.0723634173202475,0.0960505260083602,0.0605983955675147,0.736937025355627,1.4380697941299
"25","05.07.2011.2","FLD0300_05_07_2011_2","2011-7-05",2011,"July",5,7,27,"Summer",20.1375,39.8,"Pelagic","no",31.697,600,15.825,0.46,0.374,"Mesotrophic","Mesotrophic",25.25,135.25,0.71,15,670,740,0.002387775,0.106653932,0.11779688,0.048864861,0.614076959,0.843041591,5,7,27,15,670,740,0.00238777459407832,0.106653931868832,0.11779687997453,0.0488648605244947,0.614076958572708,0.84304159050924
"26","05.09.2006.1","FLD0208_05_09_2006_1","2006-9-05",2006,"September",5,9,36,"Summer",15.625,16.2,"Pelagic","no",46.806232,733.574,20.0555125,0.4684645,NA,"Mesotrophic","Mesotrophic",21.5,NA,0,6777,619,9219,0.142748815,0.013038441,0.194186414,0.531875684,0.218226414,1.476888454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","05.09.2006.2","FLD0209_05_09_2006_2","2006-9-05",2006,"September",5,9,36,"Summer",15.625,16.2,"Littoral","no",69.370499,736.7605,23.3904825,0.4477295,NA,"Mesotrophic","Mesotrophic",18.9,NA,2.74,7174,1152,14915,0.073260148,0.011764105,0.152310442,0.41304258,0.247050126,1.839659693,5,9,36,7174,1152,14915,0.0732601480725045,0.0117641051825377,0.152310441664539,0.413042580323631,0.247050126231466,1.83965969294452
"28","05.09.2007.1","FLD0225_05_09_2007_1","2007-9-05",2007,"September",5,9,36,"Summer",16.0375,9.2,"Littoral","no",55.12,490,29.305,0.3454,NA,"Mesotrophic","Mesotrophic",18,NA,0.000594,51,2088,12038,0.000490696,0.020089672,0.115823503,0.02215166,0.263574577,2.371230838,5,9,36,51,2088,12038,0.000490696018627206,0.0200896722920315,0.115823503377143,0.0221516595005251,0.26357457702813,2.37123083825547
"29","05.09.2007.2","FLD0226_05_09_2007_2","2007-9-05",2007,"September",5,9,36,"Summer",16.0375,9.2,"Pelagic","no",50.885,472.85,23.13,0.31455,NA,"Mesotrophic","Mesotrophic",17.44,NA,6e-04,44,896,4674,0.000831569,0.016933777,0.088335349,0.028836945,0.221942442,1.904543587,5,9,36,44,896,4674,0.000831569398246144,0.0169337768370124,0.0883353492591473,0.028836945022768,0.221942442397102,1.9045435872893
"30","06.07.2007.1","FLD0219_06_07_2007_1","2007-7-06",2007,"July",6,7,27,"Summer",16.15,17.6,"Littoral","no",63.375,1025.3,32.355,0.4888,NA,"Mesotrophic","Mesotrophic",26.04,NA,0.0028,0,0,4798,0,0,0.073064506,0,0,0.952383782,6,7,27,0,0,4798,0,0,0.0730645063044405,0,0,0.952383782127655
"31","06.07.2007.2","FLD0220_06_07_2007_2","2007-7-06",2007,"July",6,7,27,"Summer",16.15,17.6,"Pelagic","no",36.52,601.15,17.44,0.4489,NA,"Mesotrophic","Mesotrophic",19.92,NA,0.00217,3,0,3324,6.66e-05,0,0.073740489,0.008157989,0,1.290787901,6,7,27,3,0,3324,6.65527874525811e-05,0,0.0737404884974599,0.00815798917948419,0,1.29078790058977
"32","07.06.2012.1","FLD0312_07_06_2012_1","2012-6-07",2012,"June",7,6,23,"Spring",14.0375,14.4,"Littoral","no",49.33,892,34.315,0.727,NA,"Eutrophic","Mesotrophic",25.9,74,8.94,437,0,4651,0.009503305,0,0.101143876,0.133689255,0,1.576987582,7,6,23,437,0,4651,0.00950330549756437,0,0.101143876130828,0.133689254980739,0,1.57698758189132
"33","07.06.2012.2","FLD0313_07_06_2012_2","2012-6-07",2012,"June",7,6,23,"Spring",14.0375,14.4,"Pelagic","no",42.554,644,28.8,0.586,NA,"Mesotrophic","Mesotrophic",25,140.25,1.67,142,0,1291,0.003595847,0,0.032691821,0.084751204,0,0.745557878,7,6,23,142,0,1291,0.00359584704988605,0,0.0326918207141048,0.0847512036197203,0,0.745557878444827
"34","07.10.2008.5b","FLD0251_07_10_2008_5b","2008-10-07",2008,"October",7,10,41,"Fall",8.65,15.4,"Pelagic","no",NA,440,NA,0.32,0.3,"Mesotrophic","Eutrophic",NA,NA,NA,700,1607,7937,0.009716689,0.022306742,0.110173374,0.138226767,0.341695712,2.169721568,7,10,41,700,1607,7937,0.00971668910759151,0.0223067419941422,0.110173373495648,0.138226766623829,0.341695711517724,2.16972156810017
"35","07.10.2008.6b","FLD0252_07_10_2008_6b","2008-10-07",2008,"October",7,10,41,"Fall",8.65,15.4,"Pelagic","no",NA,440,NA,0.32,NA,"Mesotrophic","Eutrophic",NA,NA,NA,855,1203,6190,0.017318209,0.024367025,0.125379785,0.180289414,0.31077047,2.040492697,7,10,41,855,1203,6190,0.0173182094389305,0.024367024508811,0.125379785294713,0.180289414301136,0.310770470299176,2.04049269662336
"36","08.07.2009.1","FLD0259_08_07_2009_1","2009-7-08",2009,"July",8,7,27,"Summer",17.675,26.6,"Littoral","no",56.65,NA,NA,NA,NA,NA,NA,22.3,97.75,NA,55,0,6844,0.000500314,0,0.062257234,0.022367696,0,0.832021923,8,7,27,55,0,6844,0.000500313833222658,0,0.0622572340831976,0.0223676961983718,0,0.832021922520215
"37","08.07.2009.2","FLD0260_08_07_2009_2","2009-7-08",2009,"July",8,7,27,"Summer",17.675,26.6,"Pelagic","yes",58.26,NA,29.85,NA,NA,NA,NA,22,157.75,1.7,19455,5521,33142,0.205048482,0.058189292,0.349304385,0.663680724,0.344619968,2.322790516,8,7,27,19455,5521,33142,0.205048482293423,0.0581892917369309,0.349304384485666,0.663680724049314,0.344619968411862,2.3227905161426
"38","08.08.2009.p2","FLD0266_08_08_2009_p2","2009-8-08",2009,"August",8,8,32,"Summer",18.9,31.8,"Pelagic","no",NA,NA,9.436,0.376,0.623,NA,NA,26.5,NA,NA,7090,2171,13870,0.076201326,0.023333298,0.14907086,0.446119016,0.360080061,1.862484902,8,8,32,7090,2171,13870,0.0762013262684995,0.023333297507604,0.149070859710027,0.446119016272043,0.360080060477815,1.86248490157382
"39","09.05.2007.1","FLD0217_09_05_2007_1","2007-5-09",2007,"May",9,5,19,"Spring",11.425,0,"Littoral","no",77.135,767.25,29.665,0.59905,NA,"Mesotrophic","Mesotrophic",20.96,NA,NA,0,10,1810,0,0.000180265,0.032627898,0,0.013426266,0.892859808,9,5,19,0,10,1810,0,0.000180264628474601,0.0326278977539027,0,0.0134262663639078,0.89285980842894
"40","09.05.2007.2","FLD0218_09_05_2007_2","2007-5-09",2007,"May",9,5,19,"Spring",11.425,0,"Pelagic","no",58.56,789.05,11.285,0.65675,NA,"Mesotrophic","Mesotrophic",28.2,NA,0.0072,0,12,1975,0,0.000124481,0.020487552,0,0.01115712,0.685703961,9,5,19,0,12,1975,0,0.00012448132780083,0.0204875518672199,0,0.011157120049584,0.685703960625305
"41","09.08.2011.1","FLD0303_09_08_2011_1","2011-8-09",2011,"August",9,8,32,"Summer",20.5625,22.6,"Littoral","yes",337.647,8612,22.798,0.458,NA,"Eutrophic","Mesotrophic",22.2,80.75,1.82,888,31304,32824,0.018156539,0.640058886,0.671137646,0.191054742,1.609449877,2.131902538,9,8,32,888,31304,32824,0.018156538807557,0.640058886071808,0.671137646192852,0.191054741570573,1.60944987739174,2.13190253805669
"42","09.08.2011.2","FLD0304_09_08_2011_2","2011-8-09",2011,"August",9,8,32,"Summer",20.5625,22.6,"Pelagic","yes",451.474,13422,46.44,1.011,NA,"Eutrophic","Mesotrophic",NA,93.25,3.63,317,36933,37667,0.005472499,0.637589338,0.650260677,0.094578794,1.57480916,1.920846519,9,8,32,317,36933,37667,0.00547249939578082,0.637589338121051,0.650260677416014,0.0945787936735023,1.57480916020405,1.9208465187652
"43","09.08.2016","FLD0367_09_08_2016","2016-8-09",2016,"August",9,8,32,"Summer",21.6875,0,"Littoral",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","10.08.2010.1","FLD0285_10_08_2010_1","2010-8-10",2010,"August",10,8,32,"Summer",19.9625,103.2,"Littoral","yes",NA,NA,NA,NA,NA,NA,NA,22.9,NA,0.516,100,1290,8282,0.003016955,0.038918723,0.249864237,0.077486761,0.445698975,2.375733827,10,8,32,100,1290,8282,0.00301695528872262,0.0389187232245218,0.249864237012007,0.0774867608306179,0.445698974694465,2.37573382660438
"45","10.08.2010.2","FLD0286_10_08_2010_2","2010-8-10",2010,"August",10,8,32,"Summer",19.9625,103.2,"Pelagic","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378,527,1090,13652,0.010178854,0.021053038,0.263684475,0.173453651,0.242244808,2.224244441,10,8,32,527,1090,13652,0.0101788542511685,0.0210530382045042,0.263684474832928,0.173453651249698,0.242244808383222,2.22424444118172
"46","10.08.2015.1","FLD0351_10_08_2015_1","2015-8-10",2015,"August",10,8,32,"Summer",18.7625,3.9,"Littoral",NA,74.1733,800.3131152,45.3,532,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","10.10.2006.1","FLD0214_10_10_2006_1","2006-10-10",2006,"October",10,10,41,"Fall",10.1625,17.6,"Pelagic","no",NA,NA,NA,NA,NA,"Mesotrophic","Mesotrophic",15.06,NA,NA,275,10866,13212,0.002171458,0.085800242,0.104324755,0.065895471,0.305510725,0.940015403,10,10,41,275,10866,13212,0.00217145835142882,0.0858002416240929,0.104324755414828,0.065895471074622,0.305510724599883,0.940015403247092
"48","10.10.2007.1","FLD0231_10_10_2007_1","2007-10-10",2007,"October",10,10,41,"Fall",13.2,30.2,"Littoral","no",59.2,471.1,25.39,0.3128,NA,NA,NA,NA,NA,NA,3,127,9968,5.15e-05,0.002182243,0.171280307,0.007179767,0.064983864,1.449528005,10,10,41,3,127,9968,5.15490489200474e-05,0.00218224307094867,0.171280306545011,0.00717976663409386,0.0649838641645493,1.44952800510766
"49","12.07.2006.1b","FLD0199_12_07_2006_1b","2006-7-12",2006,"July",12,7,28,"Summer",20.6625,7.8,"Pelagic","no",76.1119705,890.2395,23.3830935,0.7574795,0.138,"Mesotrophic","Mesotrophic",25.8,NA,0.16,47,133,1364,0.002407664,0.006813176,0.06987347,0.049067948,0.162214294,1.038538016,12,7,28,47,133,1364,0.00240766354182675,0.00681317555453102,0.0698734695968444,0.0490679482129297,0.162214293992138,1.03853801575151
"50","12.07.2006.2b","FLD0200_12_07_2006_2b","2006-7-12",2006,"July",12,7,28,"Summer",20.6625,7.8,"Littoral","no",51.8749095,924.632,21.357441,0.802102,0.16,NA,NA,NA,NA,0,0,12,52,0,0.009531374,0.041302621,0,0.097628757,0.348991113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","12.07.2009.1b","FLD0261_12_07_2009_1b","2009-7-12",2009,"July",12,7,28,"Summer",17.2125,25.6,"Littoral","no",NA,924,NA,0.664,NA,"Mesotrophic","Mesotrophic",NA,NA,NA,383,37,625,0.150196078,0.014509804,0.245098039,0.50471437,0.120456648,1.143728283,12,7,28,383,37,625,0.150196078431373,0.0145098039215686,0.245098039215686,0.504714370280807,0.120456647477707,1.14372828322163
"52","12.07.2009.2b","FLD0262_12_07_2009_2b","2009-7-12",2009,"July",12,7,28,"Summer",17.2125,25.6,"Pelagic","no",NA,NA,5.412,0.601,1.7,NA,NA,NA,175.25,124,10741,4376,31013,0.088164559,0.035919198,0.254561722,0.410884813,0.26718952,1.965167848,12,7,28,10741,4376,31013,0.0881645585205493,0.0359191982204565,0.254561721757545,0.410884813331706,0.267189520175911,1.96516784798856
"53","12.07.2010.1","FLD0282_12_07_2010_1","2010-7-12",2010,"July",12,7,28,"Summer",25.2375,29.8,"Littoral","no",19.701,439,9.413,0.3,NA,"Mesotrophic","Mesotrophic",27.4,287.75,0.06,804,0,4403,0.021465759,0,0.117554399,0.241412139,0,2.114770107,12,7,28,804,0,4403,0.0214657589106928,0,0.117554398611667,0.241412139423798,0,2.11477010715427
"54","12.07.2010.2","FLD0283_12_07_2010_2","2010-7-12",2010,"July",12,7,28,"Summer",25.2375,29.8,"Pelagic","no",27.861,316,13.366,0.279,NA,"Eutrophic","Mesotrophic",24.2,117.75,2300,89,0,2033,0.002556002,0,0.058385985,0.050556921,0,0.887240047,12,7,28,89,0,2033,0.00255600229753015,0,0.058385985066054,0.0505569213612751,0,0.887240047126717
"55","12.08.2015.1","FLD0353_12_08_2015_1","2015-8-12",2015,"August",12,8,32,"Summer",18.1875,43.1,"Littoral",NA,89.9398,873.9822647,31.9,525,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","12.09.2006.1a","FLD0210_12_09_2006_1a","2006-9-12",2006,"September",12,9,37,"Summer",14.55,4.4,"Pelagic","yes",54.114784,632.9985,17.3591535,0.3130345,2.74,"Mesotrophic","Mesotrophic",19.2,NA,2.36,3123,23403,31072,0.032913874,0.246648539,0.327473547,0.274921758,0.953781121,2.068870571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","12.09.2006.2b","FLD0211_12_09_2006_2b","2006-9-12",2006,"September",12,9,37,"Summer",14.55,4.4,"Littoral","yes",54.540525,610.5105,14.520881,0.303932,2.36,NA,NA,NA,NA,0,212,1251,1919,0.03207747,0.189287336,0.290361628,0.252561695,0.733809063,1.57878277,12,9,37,212,1251,1919,0.0320774701165078,0.189287335451657,0.290361628082917,0.252561694734733,0.733809063001448,1.57878277003375
"58","12.09.2011.1","FLD0307_12_09_2011_1","2011-9-12",2011,"September",12,9,37,"Summer",16.35,72.4,"Littoral","no",31.164,1271,11.091,0.957,NA,"Eutrophic","Mesotrophic",14.8,92.75,0.335,752,940,5987,0.016023865,0.020029832,0.127572981,0.167081662,0.329051893,2.090874285,12,9,37,752,940,5987,0.0160238653313446,0.0200298316641807,0.127572981035585,0.167081661762227,0.329051892760769,2.09087428472139
"59","12.09.2011.2","FLD0308_12_09_2011_2","2011-9-12",2011,"September",12,9,37,"Summer",16.35,72.4,"Pelagic","no",59.618,1070,26.568,0.716,NA,"Eutrophic","Mesotrophic",14.2,90.25,3.46,2618,4210,11988,0.046486851,0.074755402,0.212866452,0.370351615,0.657892865,2.314853041,12,9,37,2618,4210,11988,0.0464868512172168,0.0747554024539659,0.21286645240336,0.370351615098411,0.657892865392977,2.31485304148214
"60","12.10.2011.1","FLD0309_12_10_2011_1","2011-10-12",2011,"October",12,10,41,"Fall",11.6625,0,"Littoral","no",114.903,863,52.792,0.605,NA,"Mesotrophic","Mesotrophic",NA,89,0,167,37,2768,0.004664283,0.001033404,0.077309798,0.091984229,0.044945331,0.998679092,12,10,41,167,37,2768,0.00466428332029941,0.00103340408892861,0.0773097977879567,0.0919842285714247,0.0449453308933498,0.998679092171551
"61","12.10.2011.2","FLD0310_12_10_2011_2","2011-10-12",2011,"October",12,10,41,"Fall",11.6625,0,"Pelagic","no",183.097,1211,42.586,0.606,NA,"Mesotrophic","Mesotrophic",22.5,144,0.574,2226,115,6629,0.073586777,0.003801653,0.219140496,0.371043561,0.08102042,1.472758193,12,10,41,2226,115,6629,0.0735867768595041,0.00380165289256198,0.219140495867769,0.371043561386304,0.0810204197632611,1.47275819308934
"62","13.06.2006.1c","FLD0195_13_06_2006_1c","2006-6-13",2006,"June",13,6,24,"Spring",14.8,83.8,"Pelagic","no",51.958527,1413.005,34.5288295,1.2993945,0.0033,"Mesotrophic","Eutrophic",22.9,NA,0.0012,84,74,23599,0.000676797,0.000596226,0.19013971,0.026015325,0.02441774,1.990191387,13,6,24,84,74,23599,0.000676797138114959,0.00059622605024413,0.190139710266368,0.0260153250626426,0.0244177404819555,1.99019138735529
"63","13.06.2006.2c","FLD0196_13_06_2006_2c","2006-6-13",2006,"June",13,6,24,"Spring",14.8,83.8,"Littoral","no",58.42204,1597.079,37.796898,1.4146905,0.0012,"Mesotrophic","Mesotrophic",22.5,NA,0,10,0,12204,0.00013428,0,0.163875871,0.011587945,0,1.991380974,13,6,24,10,0,12204,0.000134280458164923,0,0.163875871144472,0.011587944518547,0,1.99138097357339
"64","13.08.2015.1","FLD0355_13_08_2015_1","2015-8-13",2015,"August",13,8,33,"Summer",18.2125,41.6,"Littoral",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","13.08.2015.2","FLD0356_13_08_2015_2","2015-8-13",2015,"August",13,8,33,"Summer",18.2125,41.6,"Pelagic",NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
